search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
영업기획,대웅바이오(주),[대웅바이오] 영업기획팀 경력 사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49536460&location=ts&searchword=%EC%98%81%EC%97%85%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=y&search_uuid=060d154f-7a3f-4d79-9e8b-77cfffe0079e,2024-12-07 03:03:53,서울 강남구,경력3년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
영업기획,대웅바이오(주),[대웅바이오] 영업기획팀(차석급) 경력 사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49536552&location=ts&searchword=%EC%98%81%EC%97%85%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=y&search_uuid=060d154f-7a3f-4d79-9e8b-77cfffe0079e,2024-12-07 03:03:57,서울 강남구,경력10년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
영업기획,(주) 씨나브로코리아,영업팀 (영업기획/신규개발) 경력직 채용합니다,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49229321&location=ts&searchword=%EC%98%81%EC%97%85%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=n&search_uuid=060d154f-7a3f-4d79-9e8b-77cfffe0079e,2024-12-07 03:04:02,경기 고양시 덕양구,경력1년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
영업기획,(주)코텍,(주)코텍 해외영업(경력) [영업관리/영업기획] 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49486712&location=ts&searchword=%EC%98%81%EC%97%85%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=n&search_uuid=060d154f-7a3f-4d79-9e8b-77cfffe0079e,2024-12-07 03:04:05,인천 연수구,경력4년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
영업기획,(주)엠쓰리모바일,(주)엠쓰리모바일 영업기획본부 국내영업팀 정규직 직원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49489649&location=ts&searchword=%EC%98%81%EC%97%85%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=n&search_uuid=060d154f-7a3f-4d79-9e8b-77cfffe0079e,2024-12-07 03:04:08,서울 금천구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
영업기획,이씨아이(주),자동차 부품 영업기획본부 인재모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49240636&location=ts&searchword=%EC%98%81%EC%97%85%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=n&search_uuid=060d154f-7a3f-4d79-9e8b-77cfffe0079e,2024-12-07 03:04:12,경기 의왕시,경력 5~15년,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
영업기획,(주)캐프,(주)캐프 해외영업 및 영업기획/마케팅 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49244278&location=ts&searchword=%EC%98%81%EC%97%85%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=n&search_uuid=060d154f-7a3f-4d79-9e8b-77cfffe0079e,2024-12-07 03:04:17,경북 상주시,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
영업기획,(주)사람인에이치에스,[서울/정규직/성과급] 패션/의류 브랜드 영업기획 담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49521186&location=ts&searchword=%EC%98%81%EC%97%85%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=n&search_uuid=060d154f-7a3f-4d79-9e8b-77cfffe0079e,2024-12-07 03:04:20,서울 용산구,경력1년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
영업기획,(주)유리드알앤디,영업기획 및 마케팅관리  정규직 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49530234&location=ts&searchword=%EC%98%81%EC%97%85%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=n&search_uuid=060d154f-7a3f-4d79-9e8b-77cfffe0079e,2024-12-07 03:04:24,경기 화성시,경력무관,초대졸↑,정규직·인턴직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
영업기획,(주)위풋테크놀로지,"[위풋테크놀로지] 영업기획 및 신시장 확장, 법인, 단체 영업",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49533050&location=ts&searchword=%EC%98%81%EC%97%85%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=n&search_uuid=060d154f-7a3f-4d79-9e8b-77cfffe0079e,2024-12-07 03:04:27,서울 금천구,경력무관,대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
영업기획,(주)포레스트팩토리,K-POP 음반인쇄업 영업기획 담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49537360&location=ts&searchword=%EC%98%81%EC%97%85%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=n&search_uuid=060d154f-7a3f-4d79-9e8b-77cfffe0079e,2024-12-07 03:04:32,경기 파주시,경력 2~5년,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
영업기획,(사)대한안전교육협회,영업기획 담당자 채용(강남),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49508128&location=ts&searchword=%EC%98%81%EC%97%85%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=n&search_uuid=060d154f-7a3f-4d79-9e8b-77cfffe0079e,2024-12-07 03:04:35,서울 강남구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
영업기획,신안종합리조트(주),[웰리힐리파크] 종합리조트 영업기획 신입사원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49506982&location=ts&searchword=%EC%98%81%EC%97%85%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=n&search_uuid=060d154f-7a3f-4d79-9e8b-77cfffe0079e,2024-12-07 03:04:39,강원 횡성군,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
영업기획,(주)케이시스,[부산스타기업] 전략기획팀(영업기획 및 전략수립) 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49425063&location=ts&searchword=%EC%98%81%EC%97%85%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=n&search_uuid=060d154f-7a3f-4d79-9e8b-77cfffe0079e,2024-12-07 03:04:43,부산 부산진구,경력5년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
