search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
연구개발,부광약품(주),부광약품 연구개발부문 경력 사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49541338&location=ts&searchword=%EC%97%B0%EA%B5%AC%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=c2d0df0a-7791-4d92-8ece-ea04c34bb519,2024-12-07 12:00:20,서울 동작구,경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
연구개발,(주)비보존제약,"부문별 신입/경력 공개채용(마케팅/생산,품질관리/임상연구개발)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49411662&location=ts&searchword=%EC%97%B0%EA%B5%AC%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=c2d0df0a-7791-4d92-8ece-ea04c34bb519,2024-12-07 12:00:24,경기 화성시,신입·경력,고졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
연구개발,(주)네오팜,"[네오팜] H&B영업, 해외사업(일본권), 연구개발, 구매관리, 품질보증, 충포장, 생산직 인재채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49446393&location=ts&searchword=%EC%97%B0%EA%B5%AC%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=c2d0df0a-7791-4d92-8ece-ea04c34bb519,2024-12-07 12:00:29,서울 강남구,신입·경력,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
연구개발,대영기계공업(주),연구개발/생산관리/금형 정규직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49508327&location=ts&searchword=%EC%97%B0%EA%B5%AC%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=c2d0df0a-7791-4d92-8ece-ea04c34bb519,2024-12-07 12:00:33,경남 밀양시,신입·경력,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
연구개발,(주)세경하이테크,R&D 연구개발 인재 모집 (BIZ 영어회화 가능자),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49387447&location=ts&searchword=%EC%97%B0%EA%B5%AC%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=c2d0df0a-7791-4d92-8ece-ea04c34bb519,2024-12-07 12:00:37,경기 수원시 권선구,경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
연구개발,(주)한미양행,(주)한미양행 공장 [연구개발] 수시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49399407&location=ts&searchword=%EC%97%B0%EA%B5%AC%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=c2d0df0a-7791-4d92-8ece-ea04c34bb519,2024-12-07 12:00:41,경기 파주시,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
연구개발,(주)에프에스티,(주)에프에스티 펠리클사업부 연구개발(소재) 경력직 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49541205&location=ts&searchword=%EC%97%B0%EA%B5%AC%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=c2d0df0a-7791-4d92-8ece-ea04c34bb519,2024-12-07 12:00:45,경기 오산시,경력5년↑,박사,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
연구개발,(주)민테크,[이차전지] 배터리 진단장비 연구개발 신입 및 경력 인재 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49538617&location=ts&searchword=%EC%97%B0%EA%B5%AC%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=c2d0df0a-7791-4d92-8ece-ea04c34bb519,2024-12-07 12:00:48,대전 유성구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
연구개발,(주)아우딘퓨쳐스,화장품 연구개발 신입 연구원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49470997&location=ts&searchword=%EC%97%B0%EA%B5%AC%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=c2d0df0a-7791-4d92-8ece-ea04c34bb519,2024-12-07 12:00:52,서울 강남구,신입,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
연구개발,(주)알토켐,[연구원] [R&D] 연구개발 (경력 및 신입) 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49178855&location=ts&searchword=%EC%97%B0%EA%B5%AC%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=c2d0df0a-7791-4d92-8ece-ea04c34bb519,2024-12-07 12:00:57,경기 용인시 처인구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
